,Player,Pos,Age,Tm,PER,TS%,AST%,WS/48,OBPM,DBPM,Year,
742,Dwight Powell,PF,24,DAL,16.8,0.557,7.2,0.151,-0.6,0.7,2015,1
743,Norman Powell,SG,22,TOR,13.3,0.541,10.4,0.105,-0.5,0.3,2015,1
744,Julius Randle,PF,21,LAL,13.9,0.482,11,0.035,-1.9,-1.3,2015,1
745,Josh Richardson,SG,22,MIA,11.4,0.569,9.7,0.109,-1.1,0.7,2015,1
746,Austin Rivers,SG,23,LAC,11.1,0.523,10.6,0.063,-2.2,-0.5,2015,1
747,Rajon Rondo,PG,29,SAC,16.9,0.506,48,0.087,1,0,2015,1
748,Derrick Rose,PG,27,CHI,13.4,0.479,25.5,0.009,-0.6,-1.9,2015,1
749,Terrence Ross,SF,24,TOR,12.9,0.551,5.3,0.1,0.6,-0.3,2015,1
750,Terry Rozier,PG,21,BOS,5,0.326,16.5,-0.047,-4.7,-1.4,2015,1
751,Ricky Rubio,PG,25,MIN,17.6,0.529,41.4,0.119,1,0.8,2015,1
752,D'Angelo Russell,PG,19,LAL,13.2,0.507,21.2,0.001,-0.7,-1.6,2015,1
753,Dennis Schroder,PG,22,ATL,15.5,0.51,36.1,0.064,-0.3,-0.4,2015,1
754,Marcus Smart,PG,21,BOS,11.3,0.463,15.8,0.083,-2.2,1.2,2015,1
755,Ish Smith,PG,27,TOT,14.9,0.465,38.3,0.027,-0.3,-1.3,2015,1
756,Ish Smith,PG,27,NOP,16.3,0.484,39.1,0.07,0.9,-0.5,2015,1
757,Ish Smith,PG,27,PHI,14.4,0.46,37.9,0.011,-0.7,-1.6,2015,1
758,Tony Snell,SF,24,CHI,6.4,0.478,6.9,0.016,-3.5,-0.5,2015,1
759,Garrett Temple,SF,29,WAS,9.3,0.52,10,0.066,-2.5,0.4,2015,1
760,Tristan Thompson,PF,24,CLE,15.9,0.611,4,0.185,0.5,-0.3,2015,1
761,Karl-Anthony Towns,C,20,MIN,22.5,0.59,11.3,0.151,2.5,-0.4,2015,1
762,P.J. Tucker,SF,30,PHO,10.8,0.506,10.2,0.066,-1.5,0.4,2015,1
763,Myles Turner,C,19,IND,15.4,0.531,5,0.109,-2.2,0.6,2015,1
764,Jonas Valanciunas,C,23,TOR,22.6,0.61,4.8,0.211,2.1,-0.5,2015,1
765,Nikola Vucevic,C,25,ORL,21.1,0.531,15.9,0.122,1.9,0,2015,1
766,Kemba Walker,PG,25,CHO,20.8,0.554,25.7,0.165,3.5,0.5,2015,1
767,Russell Westbrook,PG,27,OKC,27.6,0.554,49.6,0.245,6.4,1.4,2015,1
768,Hassan Whiteside,C,26,MIA,25.7,0.629,2.4,0.233,1.7,2.4,2015,1
769,Andrew Wiggins,SF,20,MIN,16.5,0.543,10.1,0.069,0.9,-2.2,2015,1
770,Lou Williams,SG,29,LAL,17.7,0.584,15.1,0.119,2.4,-1.1,2015,1
771,Justise Winslow,SF,19,MIA,8.4,0.489,7.4,0.054,-3.3,0.7,2015,1
772,Christian Wood,PF,20,PHI,16.4,0.49,3.5,0.097,0.4,-0.6,2015,1
773,Delon Wright,PG,23,TOR,17.8,0.54,22.5,0.124,1.1,-0.3,2015,1
774,Thaddeus Young,PF,27,BRK,17.5,0.533,9.6,0.081,0.1,-0.1,2015,1
775,Cody Zeller,C,23,CHO,16.1,0.592,6.3,0.169,-1.1,1,2015,1
776,Steven Adams,C,23,OKC,16.5,0.589,5.4,0.13,-0.2,0,2016,1
777,LaMarcus Aldridge,PF,31,SAS,18.6,0.532,9.9,0.149,0.7,0.1,2016,1
778,Kyle Anderson,SF,23,SAS,12.5,0.525,12.4,0.127,-1.4,3.2,2016,1
779,Giannis Antetokounmpo,SF,22,MIL,26.1,0.599,26.6,0.21,4.9,2.4,2016,1
780,Carmelo Anthony,SF,32,NYK,17.9,0.535,14.5,0.089,2.3,-1.6,2016,1
781,D.J. Augustin,PG,29,ORL,11,0.524,20.4,0.038,-1.2,-1.8,2016,1
782,Harrison Barnes,PF,24,DAL,16.3,0.541,7.7,0.078,0.4,-1.2,2016,1
783,Will Barton,SG,26,DEN,15.5,0.547,17.7,0.093,1.2,-1,2016,1
784,Nicolas Batum,SG,28,CHO,15.8,0.529,27.7,0.084,0.6,0.2,2016,1
785,Kent Bazemore,SF,27,ATL,11.5,0.504,14.2,0.052,-2.1,1.1,2016,1
786,Bradley Beal,SG,23,WAS,20.1,0.604,16.2,0.152,4.2,-1,2016,1
787,Malik Beasley,SG,20,DEN,13.7,0.536,10.2,0.057,-0.4,-0.2,2016,1
788,DeAndre' Bembry,SF,22,ATL,8.8,0.481,11.5,0.038,-3.6,0.1,2016,1
789,Davis Bertans,PF,24,SAS,12.9,0.609,8.3,0.135,0.5,0.8,2016,1
790,Patrick Beverley,SG,28,HOU,13,0.546,18.8,0.123,-0.2,1.4,2016,1
791,Nemanja Bjelica,PF,28,MIN,11,0.526,9.6,0.059,-1.8,0.2,2016,1
792,Eric Bledsoe,PG,27,PHO,20.5,0.563,31.1,0.118,3.7,-0.1,2016,1
793,Bojan Bogdanovic,SF,27,TOT,13.5,0.585,8.7,0.067,-0.1,-2.1,2016,1
794,Bojan Bogdanovic,SF,27,BRK,13,0.572,10.1,0.052,-0.5,-2.1,2016,1
795,Bojan Bogdanovic,SF,27,WAS,14.7,0.617,5.2,0.103,0.8,-2,2016,1
796,Devin Booker,SG,20,PHO,14.6,0.531,16.3,0.035,0.3,-2.3,2016,1
797,Avery Bradley,SG,26,BOS,14.4,0.548,11,0.081,0,-0.5,2016,1
798,Malcolm Brogdon,SG,24,MIL,14.9,0.555,24.3,0.1,0,-0.4,2016,1
799,Jaylen Brown,SF,20,BOS,10.3,0.539,7.2,0.053,-3,-0.8,2016,1
800,Reggie Bullock,SF,25,DET,11.7,0.538,8.8,0.101,-1,1.3,2016,1
801,Trey Burke,PG,24,WAS,10.8,0.532,20.7,0.036,-1.3,-1.8,2016,1
802,Alec Burks,SG,25,UTA,11.6,0.501,7.5,0.056,-2.2,0,2016,1
803,Jimmy Butler,SF,27,CHI,25.1,0.586,24.8,0.236,5.6,1.7,2016,1
804,Kentavious Caldwell-Pope,SG,23,DET,12.8,0.519,11.2,0.086,-0.6,0.4,2016,1
805,Clint Capela,C,22,HOU,21.4,0.638,6.7,0.184,1.3,-0.1,2016,1
806,Willie Cauley-Stein,C,23,SAC,16.3,0.558,9.4,0.1,-1.2,0.2,2016,1
807,Jordan Clarkson,SG,24,LAL,13.2,0.526,14.4,0.024,-0.9,-1.6,2016,1
808,Mike Conley,PG,29,MEM,23.2,0.604,34.5,0.209,6,0.8,2016,1
809,Pat Connaughton,SG,24,POR,11.8,0.645,12.7,0.09,-0.4,-0.4,2016,1
810,Robert Covington,SF,26,PHI,13.2,0.534,7.5,0.071,-1.2,1.4,2016,1
811,Jae Crowder,SF,26,BOS,14.9,0.613,10.1,0.137,1,-0.1,2016,1
812,Seth Curry,PG,26,DAL,15.5,0.601,16,0.11,0.8,0.4,2016,1
813,Stephen Curry,PG,28,GSW,24.6,0.624,31.2,0.229,6.7,0.3,2016,1
814,Anthony Davis,C,23,NOP,27.5,0.58,11.1,0.195,4.4,1.4,2016,1
815,Ed Davis,PF,27,POR,11.5,0.563,4.6,0.104,-3.2,-0.8,2016,1
816,Dewayne Dedmon,C,27,SAS,16,0.645,4.8,0.189,-1.4,2,2016,1
817,Sam Dekker,PF,22,HOU,13.1,0.549,7.7,0.104,0.3,-0.6,2016,1
818,DeMar DeRozan,SG,27,TOR,24,0.552,20.6,0.166,4.1,-1,2016,1
819,Gorgui Dieng,PF,27,MIN,14.2,0.555,8.6,0.103,-0.8,0.6,2016,1
820,Spencer Dinwiddie,PG,23,BRK,12.7,0.581,20.3,0.101,-1.3,0.4,2016,1
821,Goran Dragic,PG,30,MIA,19.8,0.575,29,0.147,2.7,-0.1,2016,1
822,Andre Drummond,C,23,DET,20.9,0.518,6,0.133,0.1,0.8,2016,1
823,Kevin Durant,PF,28,GSW,27.6,0.651,23.1,0.278,6.7,2.2,2016,1
824,Wayne Ellington,SG,29,MIA,12.6,0.565,7.1,0.105,0.8,-0.9,2016,1
825,Joel Embiid,C,22,PHI,24.1,0.584,16,0.117,1.9,2.7,2016,1
826,Derrick Favors,PF,25,UTA,15.8,0.512,7.9,0.109,-1.2,1.2,2016,1
827,Dorian Finney-Smith,PF,23,DAL,7.7,0.486,6,0.041,-3.3,0.6,2016,1
828,Bryn Forbes,SG,23,SAS,5.9,0.462,11.7,0.014,-3.9,-1.5,2016,1
829,Evan Fournier,SG,24,ORL,13.9,0.555,14.8,0.059,-0.2,-1.1,2016,1
830,Danilo Gallinari,SF,28,DEN,17.4,0.622,9.1,0.154,2.8,-1.4,2016,1
831,Rudy Gay,SF,30,SAC,17.9,0.559,14.1,0.087,1.4,0.5,2016,1
832,Paul George,SF,26,IND,20.2,0.587,16.1,0.126,3,0.1,2016,1
833,Taj Gibson,PF,31,TOT,15,0.543,5.9,0.097,-1.1,-0.4,2016,1
834,Taj Gibson,PF,31,CHI,15.4,0.549,6.5,0.104,-1,-0.2,2016,1
835,Taj Gibson,PF,31,OKC,13.8,0.528,4.2,0.076,-1.7,-0.9,2016,1
836,Rudy Gobert,C,24,UTA,23.3,0.681,5.7,0.25,2.2,2.2,2016,1
837,Aaron Gordon,SF,21,ORL,14.5,0.53,10.5,0.077,-0.3,-0.7,2016,1
838,Eric Gordon,SG,28,HOU,13.2,0.557,12.3,0.079,1.3,-1.4,2016,1
839,Jerami Grant,PF,22,TOT,10.1,0.556,4.2,0.091,-2.1,0.8,2016,1
840,Jerami Grant,PF,22,PHI,3,0.39,0,-0.144,-8,-0.3,2016,1
841,Jerami Grant,PF,22,OKC,10.3,0.566,4.3,0.098,-1.9,0.9,2016,1
842,Danny Green,SG,29,SAS,10.1,0.537,9.6,0.09,-1,1.9,2016,1
843,Draymond Green,PF,26,GSW,16.5,0.522,27.6,0.16,1,3.9,2016,1
844,JaMychal Green,PF,26,MEM,13.5,0.601,6.3,0.132,-0.9,0.2,2016,1
845,Jeff Green,PF,30,ORL,10.5,0.505,8.1,0.022,-2.4,-1.2,2016,1
846,Blake Griffin,PF,27,LAC,22.6,0.569,24.5,0.179,4.2,0.5,2016,1
847,Tim Hardaway Jr.,SG,24,ATL,15.2,0.568,14.3,0.107,1,-0.4,2016,1
848,James Harden,PG,27,HOU,27.4,0.613,50.7,0.245,7.5,1.2,2016,1
849,Maurice Harkless,SF,23,POR,13.1,0.57,5.9,0.091,-0.8,0.1,2016,1
850,Montrezl Harrell,C,23,HOU,19.2,0.662,9.6,0.183,0.9,0.1,2016,1
851,Gary Harris,SG,22,DEN,16.5,0.611,13.6,0.124,1.5,-0.9,2016,1
852,Joe Harris,SG,25,BRK,9,0.558,7.3,0.032,-2.6,-0.9,2016,1
853,Tobias Harris,PF,24,DET,16.9,0.568,8.8,0.128,1.3,0.3,2016,1
854,Udonis Haslem,C,36,MIA,8.8,0.524,6.4,0.074,-6.1,0.9,2016,1
855,Gordon Hayward,SF,26,UTA,22.2,0.595,18.2,0.199,4.6,0.5,2016,1
856,Juancho Hernangomez,PF,21,DEN,13.4,0.592,4.7,0.104,0.1,-0.2,2016,1
857,Willy Hernangomez,C,22,NYK,19,0.564,11.5,0.123,0.3,-0.5,2016,1
858,Buddy Hield,SG,24,TOT,11.8,0.541,10.3,0.032,-0.6,-1.4,2016,1
859,Buddy Hield,SG,24,NOP,9.9,0.503,10.3,0.02,-1.7,-1.1,2016,1
860,Buddy Hield,SG,24,SAC,14.9,0.6,10.3,0.053,1.1,-1.9,2016,1
861,George Hill,PG,30,UTA,19.3,0.599,22.8,0.182,3,0.8,2016,1
862,Solomon Hill,SF,25,NOP,8,0.527,8.1,0.055,-3.5,0.8,2016,1
863,Jrue Holiday,PG,26,NOP,17.1,0.532,35.9,0.084,1,0.2,2016,1
864,Justin Holiday,SG,27,NYK,12.7,0.549,9.2,0.073,-0.5,0.2,2016,1
865,Richaun Holmes,C,23,PHI,18.6,0.611,8.3,0.151,0.5,0.5,2016,1
866,Rodney Hood,SG,24,UTA,12.4,0.522,10.1,0.078,-0.6,-0.3,2016,1
867,Al Horford,C,30,BOS,17.7,0.553,24.4,0.138,2.3,1.1,2016,1
868,Danuel House Jr.,SG,23,WAS,12.2,,0,0.163,-8.9,9.8,2016,1
869,Dwight Howard,C,31,ATL,20.8,0.627,7.8,0.181,0.6,0.8,2016,1
870,Serge Ibaka,PF,27,TOT,16.4,0.566,5.2,0.101,0.4,-0.3,2016,1
871,Serge Ibaka,PF,27,ORL,17.5,0.569,5.9,0.108,0.9,-0.2,2016,1
872,Serge Ibaka,PF,27,TOR,13.8,0.556,3.3,0.085,-0.8,-0.6,2016,1
873,Andre Iguodala,SF,33,GSW,14.3,0.624,16.7,0.167,0.8,1.7,2016,1
874,Joe Ingles,SF,29,UTA,12.4,0.604,17.2,0.123,-0.7,2.3,2016,1
875,Brandon Ingram,SF,19,LAL,8.5,0.474,10.5,-0.007,-3,-1.4,2016,1
876,Reggie Jackson,PG,26,DET,14.9,0.51,30.3,0.065,0.4,-1.4,2016,1
877,LeBron James,SF,32,CLE,27,0.619,41.3,0.221,6.4,1.2,2016,1
878,James Johnson,PF,29,MIA,17,0.564,20.9,0.117,1.1,1.7,2016,1
879,Nikola Jokic,C,21,DEN,26.3,0.64,28.8,0.228,5.9,1.4,2016,1
880,Damian Jones,C,21,GSW,5.3,0.466,0,0.018,-7.7,-1.9,2016,1
881,Derrick Jones Jr.,SF,19,PHO,12,0.604,3.1,0.098,-1.6,-0.7,2016,1
882,Tyus Jones,PG,20,MIN,13.8,0.523,28,0.096,-0.6,0.7,2016,1
883,DeAndre Jordan,C,28,LAC,21.8,0.673,5.7,0.221,2.5,0.9,2016,1
884,Cory Joseph,PG,25,TOR,13.2,0.518,20,0.082,-0.9,-0.4,2016,1
885,Frank Kaminsky,C,23,CHO,13,0.502,13.5,0.056,-0.5,-0.6,2016,1
886,Enes Kanter,C,24,OKC,23.7,0.599,7.9,0.183,3,-1.3,2016,1
887,Jeremy Lamb,SG,24,CHO,17,0.55,11.3,0.115,0.5,0.1,2016,1
888,Zach LaVine,SG,21,MIN,14.6,0.576,12.6,0.082,1.5,-1.4,2016,1
889,Jake Layman,SF,22,POR,4.9,0.404,6.2,-0.054,-5.2,-1.2,2016,1
890,Alex Len,C,23,PHO,15,0.553,4.2,0.091,-2.4,0.1,2016,1
891,Caris LeVert,SF,22,BRK,12.3,0.556,13.7,0.07,-1.3,0.3,2016,1
892,Damian Lillard,PG,26,POR,24.1,0.586,28.7,0.185,6.1,-1.1,2016,1
893,Kevon Looney,C,20,GSW,13.6,0.553,8.5,0.155,-2.4,0.7,2016,1
894,Brook Lopez,C,28,BRK,20.4,0.578,14.8,0.105,2.9,-0.6,2016,1
895,Robin Lopez,C,28,CHI,14.4,0.511,5.6,0.09,-1.4,-0.8,2016,1
896,Kevin Love,PF,28,CLE,21.1,0.573,9.8,0.163,3.3,-1.2,2016,1
897,Kyle Lowry,PG,30,TOR,22.9,0.623,29.9,0.216,5.8,0.4,2016,1
898,Timothe Luwawu-Cabarrot,SF,21,PHI,8.5,0.536,9.6,0.034,-3.9,-0.7,2016,1
899,Trey Lyles,PF,21,UTA,9.9,0.464,9.5,0.031,-2.2,0,2016,1
900,Boban Marjanovic,C,28,DET,29.6,0.606,5.3,0.28,5.4,0.1,2016,1
901,CJ McCollum,SG,25,POR,19.9,0.585,18,0.131,3.4,-1.4,2016,1
902,T.J. McConnell,PG,24,PHI,13.7,0.504,37.5,0.084,-2,1,2016,1
903,Doug McDermott,SF,25,TOT,10.7,0.554,5.9,0.083,-0.9,-1.4,2016,1
904,Doug McDermott,SF,25,CHI,11.3,0.555,6.5,0.084,-0.9,-1.2,2016,1
905,Doug McDermott,SF,25,OKC,9.3,0.551,4.4,0.08,-1,-1.7,2016,1
906,JaVale McGee,C,29,GSW,25.2,0.642,3.8,0.225,1,0.2,2016,1
907,Rodney McGruder,SG,25,MIA,9.1,0.506,8.8,0.072,-1.8,-0.1,2016,1
908,Ben McLemore,SG,23,SAC,9.8,0.538,6.9,0.015,-2.5,-1.7,2016,1
909,Khris Middleton,SF,25,MIL,15,0.57,17.5,0.085,-0.4,0.1,2016,1
910,Patty Mills,PG,28,SAS,15.2,0.578,24.3,0.139,1.4,0.2,2016,1
911,Paul Millsap,PF,31,ATL,17.8,0.542,17.9,0.132,0.8,1.3,2016,1
912,Marcus Morris Sr.,SF,27,DET,12.4,0.508,9.4,0.072,-0.8,-0.3,2016,1
913,Markieff Morris,PF,27,WAS,13.7,0.54,7.8,0.083,-1.4,-0.1,2016,1
914,Dejounte Murray,PG,20,SAS,9.6,0.503,22.6,0.004,-4.2,-0.5,2016,1
915,Mike Muscala,C,25,ATL,14.4,0.596,11.9,0.132,-0.1,1.2,2016,1
916,Larry Nance Jr.,PF,24,LAL,15.7,0.567,9.7,0.118,-0.6,1.2,2016,1
917,Raul Neto,PG,24,UTA,10.7,0.527,15.1,0.1,-3.5,3.4,2016,1
918,Georges Niang,PF,23,IND,0.1,0.285,7.5,-0.168,-8.8,-3,2016,1
919,Nerlens Noel,C,22,TOT,20.4,0.622,8.1,0.181,0.1,2.3,2016,1
920,Nerlens Noel,C,22,PHI,20.8,0.634,9,0.184,0.4,2.8,2016,1
921,Nerlens Noel,C,22,DAL,19.8,0.606,7,0.178,-0.2,1.7,2016,1
922,Jusuf Nurkic,C,22,TOT,17.5,0.528,13.9,0.068,-1.4,0.5,2016,1
923,Jusuf Nurkic,C,22,DEN,15,0.515,11.1,0.034,-2,-0.1,2016,1
924,Jusuf Nurkic,C,22,POR,21.1,0.545,17.7,0.116,-0.4,1.3,2016,1
925,David Nwaba,SG,24,LAL,12.2,0.611,5,0.091,-2.1,-0.1,2016,1
926,Kelly Olynyk,C,25,BOS,15.3,0.603,15.2,0.127,-0.3,0.6,2016,1
927,Kelly Oubre Jr.,SF,21,WAS,9.1,0.516,4,0.061,-3.2,0,2016,1
928,Jabari Parker,PF,21,MIL,19.1,0.563,14.3,0.112,2.1,-1.4,2016,1
929,Chris Paul,PG,31,LAC,26.2,0.614,46.8,0.264,6.3,2.5,2016,1
930,Cameron Payne,PG,22,TOT,5.5,0.407,17.7,-0.035,-5.2,-0.9,2016,1
931,Cameron Payne,PG,22,OKC,6.1,0.402,18.3,-0.012,-4.8,-0.6,2016,1
932,Cameron Payne,PG,22,CHI,4,0.417,16.2,-0.086,-6.2,-1.5,2016,1
933,Elfrid Payton,PG,22,ORL,17.2,0.52,35.7,0.088,0.8,0,2016,1
934,Gary Payton II,PG,24,MIL,4.5,0.413,18.1,-0.074,-6.3,-0.2,2016,1
935,Mason Plumlee,C,26,TOT,18.1,0.558,19.8,0.135,0.6,1.4,2016,1
936,Mason Plumlee,C,26,POR,18.9,0.552,21.4,0.147,1.2,1.6,2016,1
937,Mason Plumlee,C,26,DEN,16.3,0.571,15.9,0.107,-1.1,1,2016,1
938,Jakob Poeltl,C,21,TOR,12.2,0.589,2.7,0.125,-3,-0.1,2016,1
939,Otto Porter Jr.,SF,23,WAS,17.3,0.628,6.7,0.173,2.4,0.9,2016,1
940,Bobby Portis,PF,21,CHI,14.9,0.545,5.7,0.114,-0.6,-0.9,2016,1
941,Kristaps Porzingis,PF,21,NYK,17.4,0.546,7.3,0.1,0.7,-0.3,2016,1
942,Dwight Powell,C,25,DAL,17.6,0.588,6.1,0.165,-0.1,1.1,2016,1
943,Norman Powell,SG,23,TOR,14,0.552,9.3,0.097,-0.6,0.1,2016,1
944,Taurean Prince,SF,22,ATL,9.8,0.513,8.4,0.054,-3.5,1.7,2016,1
945,Julius Randle,PF,22,LAL,16.3,0.543,19.3,0.08,-0.6,-0.3,2016,1
946,Josh Richardson,SG,23,MIA,10.7,0.493,12.7,0.066,-2,0.9,2016,1
947,Austin Rivers,SG,24,LAC,11.4,0.545,15,0.059,-1.2,-1,2016,1
948,Rajon Rondo,PG,30,CHI,13.6,0.461,37,0.06,-1.6,1,2016,1
949,Derrick Rose,PG,28,NYK,17,0.53,22.8,0.068,1,-2,2016,1
950,Terrence Ross,SF,25,TOT,13.4,0.55,7.1,0.086,-0.3,0.1,2016,1
951,Terrence Ross,SF,25,TOR,14.9,0.558,5.9,0.116,1.1,0.2,2016,1
952,Terrence Ross,SF,25,ORL,11.1,0.536,9,0.037,-2.5,0,2016,1
953,Terry Rozier,PG,22,BOS,10.9,0.466,15.2,0.054,-1.6,0.1,2016,1
954,Ricky Rubio,PG,26,MIN,16.8,0.539,38.9,0.119,1.2,-0.2,2016,1
955,D'Angelo Russell,PG,20,LAL,15.3,0.518,26.8,0.033,0.7,-1.5,2016,1
956,Domantas Sabonis,PF,20,OKC,6.9,0.469,7.2,0.022,-4.5,-0.1,2016,1
957,Tomas Satoransky,SG,25,WAS,8.5,0.477,16.7,0.04,-3.1,0.7,2016,1
958,Dennis Schroder,PG,23,ATL,16.1,0.533,35.5,0.071,1.1,-1,2016,1
959,Wayne Selden,SG,22,TOT,6.9,0.525,8.5,0.016,-4.6,-1,2016,1
960,Wayne Selden,SG,22,NOP,10,0.82,3,0.089,-3.3,1.6,2016,1
961,Wayne Selden,SG,22,MEM,6.2,0.475,9.9,-0.002,-4.9,-1.6,2016,1
962,Pascal Siakam,PF,22,TOR,11.5,0.523,2.9,0.089,-3,0.7,2016,1
963,Marcus Smart,SG,22,BOS,12,0.486,22,0.064,-1.9,0.6,2016,1
964,Ish Smith,PG,28,DET,14.7,0.477,32.5,0.076,-0.5,0.8,2016,1
965,Tony Snell,SG,25,MIL,9.7,0.603,5.9,0.071,-1,-0.7,2016,1
966,Garrett Temple,SG,30,SAC,11.2,0.545,14.4,0.061,-1.5,0.8,2016,1
967,Tristan Thompson,C,25,CLE,15.3,0.594,4.6,0.149,0,-0.7,2016,1
968,Karl-Anthony Towns,C,21,MIN,25.9,0.618,13.2,0.201,5.5,-0.7,2016,1
969,P.J. Tucker,SF,31,TOT,10.5,0.516,6,0.078,-1.5,1.2,2016,1
970,P.J. Tucker,SF,31,PHO,10.6,0.517,6.1,0.069,-1.5,0.9,2016,1
971,P.J. Tucker,SF,31,TOR,10.4,0.515,5.9,0.099,-1.4,1.9,2016,1
972,Myles Turner,C,20,IND,18.5,0.585,6.6,0.151,-0.1,1.1,2016,1
973,Jonas Valanciunas,C,24,TOR,20.1,0.601,4.4,0.183,1.1,-0.8,2016,1
974,Denzel Valentine,SG,23,CHI,7.3,0.492,9.3,0.031,-3.5,0.1,2016,1
975,Fred VanVleet,PG,22,TOR,10.5,0.443,17.5,0.04,-3.6,1.6,2016,1
976,Nikola Vucevic,C,26,ORL,19.1,0.498,16.9,0.088,0.8,0.6,2016,1
977,Kemba Walker,PG,26,CHO,21.3,0.569,29.1,0.142,4.9,-0.8,2016,1
978,Russell Westbrook,PG,28,OKC,30.6,0.554,57.3,0.224,8.7,2.4,2016,1
979,Hassan Whiteside,C,27,MIA,22.6,0.579,3.8,0.181,0.9,0.5,2016,1
980,Andrew Wiggins,SF,21,MIN,16.5,0.534,10.6,0.066,0.7,-2.4,2016,1
981,Lou Williams,SG,30,TOT,21.4,0.593,19.9,0.148,4.6,-0.7,2016,1
982,Lou Williams,SG,30,LAL,23.9,0.609,22.3,0.169,6.2,-0.4,2016,1
983,Lou Williams,SG,30,HOU,15.4,0.547,14.3,0.096,1,-1.5,2016,1
984,Justise Winslow,SF,20,MIA,8.2,0.399,15.5,-0.009,-4.6,0.8,2016,1
985,Christian Wood,PF,21,CHO,15.1,0.591,2.8,0.125,-2.3,-0.3,2016,1
986,Delon Wright,PG,24,TOR,15,0.535,18.2,0.117,-0.1,2.1,2016,1
987,Thaddeus Young,PF,28,IND,14.9,0.562,8.4,0.1,-0.3,0.8,2016,1
988,Cody Zeller,C,24,CHO,16.7,0.604,9.1,0.157,-0.9,1.1,2016,1
989,Ivica Zubac,C,19,LAL,17,0.547,8.1,0.086,-1.2,-0.6,2016,1
990,Steven Adams,C,24,OKC,20.6,0.63,5.5,0.187,1.7,-0.6,2017,1
991,Bam Adebayo,C,20,MIA,15.7,0.57,11,0.148,-1.1,0.7,2017,1
992,LaMarcus Aldridge,C,32,SAS,25,0.57,11.3,0.209,4.3,-0.4,2017,1
993,Jarrett Allen,C,19,BRK,17.5,0.636,5.4,0.141,-0.9,0.1,2017,1
994,Kyle Anderson,SF,24,SAS,15.9,0.582,14.7,0.151,-0.4,3.3,2017,1
995,Giannis Antetokounmpo,PF,23,MIL,27.3,0.598,23.7,0.207,5.3,0.9,2017,1
996,Carmelo Anthony,PF,33,OKC,12.7,0.503,6.5,0.071,-0.6,-1.3,2017,1
997,OG Anunoby,SF,20,TOR,10,0.587,5,0.098,-1.2,0.6,2017,1
998,D.J. Augustin,PG,30,ORL,15.4,0.615,24.4,0.11,1,-1.2,2017,1
999,Lonzo Ball,PG,20,LAL,12.5,0.444,29.2,0.053,-0.7,1.6,2017,1
1000,Harrison Barnes,PF,25,DAL,15.8,0.539,9.9,0.07,0.8,-1.3,2017,1
1001,Will Barton,SG,27,DEN,16.2,0.562,18.5,0.111,1.6,-0.4,2017,1
1002,Nicolas Batum,SG,29,CHO,14.4,0.523,26.2,0.084,0.5,-0.1,2017,1
1003,Kent Bazemore,SG,28,ATL,14.5,0.547,20.1,0.059,-0.4,1,2017,1
1004,Bradley Beal,SG,24,WAS,18.4,0.564,21,0.111,2.9,-0.7,2017,1
1005,Malik Beasley,SG,21,DEN,9,0.509,7.4,0.028,-2.4,-1.4,2017,1
1006,DeAndre' Bembry,SF,23,ATL,7.6,0.477,15.9,-0.04,-5.1,0.3,2017,1
1007,Davis Bertans,PF,25,SAS,14.1,0.588,10.3,0.135,1,0.6,2017,1
1008,Patrick Beverley,SG,29,LAC,12.4,0.53,13.8,0.056,-0.3,0.8,2017,1
1009,Khem Birch,C,25,ORL,16.4,0.582,8.5,0.15,-0.7,-0.2,2017,1
1010,Nemanja Bjelica,PF,29,MIN,12.6,0.581,8.7,0.097,-0.1,0.2,2017,1
1011,Eric Bledsoe,PG,28,TOT,19.7,0.582,25.7,0.116,2.3,0.3,2017,1
1012,Eric Bledsoe,PG,28,PHO,13,0.509,17.9,-0.028,-0.7,-2.4,2017,1
1013,Eric Bledsoe,PG,28,MIL,20,0.585,26,0.121,2.4,0.4,2017,1
1014,Bogdan Bogdanovic,SG,25,SAC,13.5,0.556,18.3,0.064,-0.6,-0.9,2017,1
1015,Bojan Bogdanovic,SF,28,IND,13.9,0.605,7.1,0.105,0.5,-1.2,2017,1
1016,Devin Booker,SG,21,PHO,18.1,0.561,24.4,0.063,2.9,-2,2017,1
1017,Chris Boucher,PF,25,GSW,-28.5,0,0,-0.899,-21.7,-11.4,2017,1
1018,Avery Bradley,SG,27,TOT,9.6,0.496,10.4,-0.007,-3,-1,2017,1
1019,Avery Bradley,SG,27,DET,9.7,0.497,10.5,-0.009,-2.8,-1.1,2017,1
1020,Avery Bradley,SG,27,LAC,9,0.492,9.8,0.009,-4.1,-0.3,2017,1
1021,Tony Bradley,C,20,UTA,9.5,0.337,5,0.033,-3,-4.5,2017,1
1022,Malcolm Brogdon,PG,25,MIL,14.3,0.578,16.3,0.091,-0.1,-1,2017,1
1023,Dillon Brooks,SF,22,MEM,9.8,0.531,9.3,0.024,-2.9,-1.1,2017,1
1024,Jaylen Brown,SG,21,BOS,13.6,0.562,8.5,0.1,-0.8,0.3,2017,1
1025,Sterling Brown,SG,22,MIL,9.1,0.503,4.5,0.043,-2.8,-0.2,2017,1
1026,Reggie Bullock,SF,26,DET,13.6,0.615,8.4,0.117,0.7,0,2017,1
1027,Trey Burke,PG,25,NYK,21,0.563,36.4,0.145,3.9,-1.4,2017,1
